                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.62162,                0.48235,                0.95803,                0.93236,                0.90177,                0.95178,                0.80882,                0.72403,                0.54391,                 1.0193,              0.0080992,              0.0080992,              0.0080992
                     99,                0.64514,                 0.4859,                 0.9673,                0.90568,                 0.9218,                0.94286,                0.81053,                0.69579,                0.43346,                 1.0151,              0.0080794,              0.0080794,              0.0080794
                    100,                0.61342,                0.46438,                0.95474,                 0.9288,                0.92277,                 0.9445,                0.79693,                0.73975,                0.42133,                 1.0272,              0.0080596,              0.0080596,              0.0080596
                    101,                0.62391,                0.46244,                0.95403,                0.92843,                 0.9379,                0.95677,                0.81214,                0.74777,                0.40747,                 1.0488,              0.0080398,              0.0080398,              0.0080398
                    102,                0.63576,                0.48864,                0.95836,                0.91161,                0.93168,                0.94574,                0.80433,                0.74382,                0.42477,                 1.0474,                0.00802,                0.00802,                0.00802
                    103,                0.63302,                0.48833,                0.95843,                0.92174,                0.93945,                0.94374,                0.80047,                0.69082,                0.43329,                 1.0205,              0.0080002,              0.0080002,              0.0080002
                    104,                 0.6325,                0.48425,                0.96122,                0.92103,                0.93579,                0.94412,                0.80673,                0.72033,                0.40553,                 1.0187,              0.0079804,              0.0079804,              0.0079804
                    105,                0.62427,                0.48514,                0.96257,                0.91295,                0.92998,                 0.9485,                0.80427,                0.72727,                0.41879,                 1.0176,              0.0079606,              0.0079606,              0.0079606
                    106,                0.63155,                 0.4854,                0.96054,                0.94173,                0.92905,                 0.9579,                 0.8192,                0.68782,                0.37708,                 1.0014,              0.0079408,              0.0079408,              0.0079408
                    107,                0.59467,                0.45187,                0.93675,                0.92166,                0.94161,                0.95393,                0.81109,                0.74329,                0.39395,                 1.0481,               0.007921,               0.007921,               0.007921
                    108,                0.59891,                0.46718,                0.95847,                0.92609,                0.90718,                0.94713,                0.80417,                0.70334,                0.40632,                  1.014,              0.0079012,              0.0079012,              0.0079012
                    109,                0.61096,                0.47456,                0.95669,                0.91699,                0.92414,                0.94447,                0.79477,                0.70565,                0.41204,                 1.0221,              0.0078814,              0.0078814,              0.0078814
                    110,                0.61117,                0.48251,                0.95396,                0.91106,                0.93312,                0.94941,                0.80506,                0.72983,                0.40926,                 1.0235,              0.0078616,              0.0078616,              0.0078616
                    111,                 0.6163,                0.47875,                  0.953,                0.93648,                 0.9306,                0.94953,                0.80469,                0.72978,                0.40846,                  1.015,              0.0078418,              0.0078418,              0.0078418
                    112,                0.60027,                0.45781,                0.94423,                0.93119,                0.93477,                0.96367,                0.81555,                0.69113,                0.38411,                 1.0008,               0.007822,               0.007822,               0.007822
                    113,                0.62442,                0.47571,                0.95456,                0.93211,                0.91793,                0.94886,                0.80921,                0.72704,                0.42466,                 1.0074,              0.0078022,              0.0078022,              0.0078022
                    114,                0.60585,                 0.4696,                0.94626,                 0.9061,                0.94785,                 0.9555,                0.81719,                0.72758,                0.39552,                 1.0435,              0.0077824,              0.0077824,              0.0077824
                    115,                0.61038,                0.46531,                0.95367,                0.91081,                0.93971,                0.95487,                0.81121,                0.69256,                0.40644,                 1.0122,              0.0077626,              0.0077626,              0.0077626
                    116,                0.59971,                0.48163,                0.94637,                0.91221,                0.92915,                0.95173,                0.81234,                0.74499,                0.42027,                 1.0388,              0.0077428,              0.0077428,              0.0077428
                    117,                0.61344,                0.46492,                0.95619,                 0.9247,                0.93363,                0.95569,                0.81095,                0.70986,                0.38164,                 1.0048,               0.007723,               0.007723,               0.007723
                    118,                0.60371,                0.46164,                0.95069,                0.92748,                0.92736,                0.94698,                0.80907,                  0.708,                0.41392,                 1.0177,              0.0077032,              0.0077032,              0.0077032
                    119,                0.59806,                0.45328,                0.94589,                0.90817,                0.94765,                0.95406,                0.80952,                0.72487,                0.39697,                 1.0235,              0.0076834,              0.0076834,              0.0076834
                    120,                0.60735,                 0.4605,                0.95556,                 0.9269,                0.94517,                0.95314,                0.81006,                0.69456,                0.37246,                 1.0104,              0.0076636,              0.0076636,              0.0076636
                    121,                 0.6005,                0.46626,                 0.9515,                0.93691,                0.94561,                  0.956,                0.81169,                0.70313,                0.37317,                 1.0011,              0.0076438,              0.0076438,              0.0076438
                    122,                0.59292,                0.44876,                0.94344,                0.93225,                0.93254,                0.95751,                0.80853,                0.72983,                0.38213,                 1.0075,               0.007624,               0.007624,               0.007624
                    123,                0.59821,                0.44439,                0.94954,                0.91912,                0.94275,                0.95654,                 0.8123,                0.75915,                0.39218,                 1.0479,              0.0076042,              0.0076042,              0.0076042
                    124,                0.58864,                 0.4498,                  0.942,                0.92588,                 0.9296,                0.95058,                0.80401,                0.75811,                0.38379,                 1.0503,              0.0075844,              0.0075844,              0.0075844
                    125,                0.59466,                0.45342,                0.95357,                0.93814,                0.93419,                 0.9558,                0.80456,                 0.7156,                0.38975,                 1.0141,              0.0075646,              0.0075646,              0.0075646
                    126,                0.58711,                0.44289,                0.94093,                0.92343,                0.93259,                0.95098,                0.80529,                0.73933,                0.40948,                 1.0381,              0.0075448,              0.0075448,              0.0075448
                    127,                0.59251,                0.45343,                0.94655,                0.91188,                0.94272,                0.95983,                 0.8123,                0.73391,                0.39802,                 1.0267,               0.007525,               0.007525,               0.007525
                    128,                0.58925,                 0.4457,                0.94696,                0.93276,                0.94451,                0.95588,                0.80805,                0.70748,                0.39378,                 1.0173,              0.0075052,              0.0075052,              0.0075052
                    129,                0.57779,                0.42535,                0.93474,                0.92199,                0.94542,                0.95056,                0.81046,                 0.7278,                0.38863,                 1.0274,              0.0074854,              0.0074854,              0.0074854
                    130,                0.59334,                0.44806,                0.94592,                0.91622,                0.94911,                0.95776,                0.81882,                 0.7182,                0.39049,                 1.0327,              0.0074656,              0.0074656,              0.0074656
                    131,                 0.5932,                0.44728,                0.94719,                0.91555,                0.94404,                0.96004,                0.81582,                0.69788,                0.39208,                 1.0132,              0.0074458,              0.0074458,              0.0074458
                    132,                0.57668,                0.42906,                0.93359,                0.93516,                0.92342,                0.95446,                0.80822,                0.72134,                0.39157,                 1.0327,               0.007426,               0.007426,               0.007426
                    133,                0.58799,                0.44024,                0.94241,                0.92427,                0.94201,                0.96403,                0.81403,                0.73071,                0.39899,                 1.0285,              0.0074062,              0.0074062,              0.0074062
                    134,                0.58949,                0.45421,                0.94724,                0.92761,                0.94725,                0.95599,                0.81796,                0.73844,                0.37362,                 1.0238,              0.0073864,              0.0073864,              0.0073864
                    135,                0.57663,                0.43569,                0.93602,                 0.9359,                0.94733,                 0.9591,                0.81192,                0.73366,                0.38111,                 1.0323,              0.0073666,              0.0073666,              0.0073666
                    136,                0.59346,                0.43935,                0.94358,                0.94542,                 0.9575,                0.96408,                0.81219,                0.74414,                0.37013,                 1.0382,              0.0073468,              0.0073468,              0.0073468
                    137,                0.57424,                0.42869,                0.94647,                0.93908,                0.94125,                0.95566,                0.81351,                0.71675,                0.36028,                 1.0222,               0.007327,               0.007327,               0.007327
                    138,                0.58437,                0.44132,                0.94321,                0.94481,                0.94942,                0.96113,                0.80883,                0.74251,                0.37462,                 1.0437,              0.0073072,              0.0073072,              0.0073072
                    139,                0.56869,                0.42811,                0.93529,                0.92952,                0.94658,                0.96412,                0.81294,                0.71601,                0.37377,                 1.0269,              0.0072874,              0.0072874,              0.0072874
                    140,                0.57521,                0.43107,                0.93619,                0.93148,                0.94381,                0.96194,                0.82015,                0.69006,                0.36768,                 1.0139,              0.0072676,              0.0072676,              0.0072676
                    141,                0.57222,                0.42139,                0.93567,                0.92457,                0.94699,                0.96655,                0.81968,                0.70008,                0.38674,                 1.0142,              0.0072478,              0.0072478,              0.0072478
                    142,                 0.5723,                0.42874,                0.93404,                0.91828,                0.95084,                0.96077,                0.81152,                 0.7505,                 0.3739,                 1.0569,               0.007228,               0.007228,               0.007228
                    143,                0.56661,                0.42056,                0.93462,                0.94565,                0.93774,                0.96338,                 0.8131,                0.69302,                0.35951,                 1.0278,              0.0072082,              0.0072082,              0.0072082
                    144,                0.56874,                 0.4286,                0.93656,                0.89608,                0.95254,                0.95747,                0.81625,                0.71947,                0.38725,                 1.0281,              0.0071884,              0.0071884,              0.0071884
                    145,                0.56653,                0.41923,                0.93367,                0.91161,                0.95112,                0.95852,                0.80887,                0.73657,                0.39924,                 1.0503,              0.0071686,              0.0071686,              0.0071686
                    146,                0.57339,                0.43757,                0.94699,                0.91752,                0.95553,                0.96111,                0.82331,                   0.71,                0.37606,                 1.0308,              0.0071488,              0.0071488,              0.0071488
                    147,                0.56426,                0.40896,                0.94318,                0.93206,                0.94781,                0.95873,                0.81008,                 0.7395,                0.37466,                 1.0497,               0.007129,               0.007129,               0.007129
                    148,                0.57255,                0.42204,                0.94095,                0.93422,                0.93325,                0.95879,                0.81348,                0.73311,                0.38184,                 1.0324,              0.0071092,              0.0071092,              0.0071092
                    149,                0.55135,                0.42278,                0.93271,                0.92979,                0.93619,                0.96042,                0.81297,                 0.7372,                0.40058,                 1.0482,              0.0070894,              0.0070894,              0.0070894
                    150,                0.56237,                0.41994,                0.93417,                 0.9474,                0.94184,                0.95561,                0.82288,                0.69832,                0.37228,                 1.0089,              0.0070696,              0.0070696,              0.0070696
                    151,                0.56341,                0.41336,                0.93335,                0.93569,                0.94955,                0.95744,                 0.8163,                 0.6957,                0.37444,                 1.0195,              0.0070498,              0.0070498,              0.0070498
                    152,                0.56198,                0.41927,                 0.9278,                0.94928,                0.94173,                0.95745,                0.81697,                0.70323,                0.37504,                 1.0206,                0.00703,                0.00703,                0.00703
                    153,                0.56646,                0.41322,                0.93908,                0.94288,                0.92244,                0.96008,                0.81499,                0.69564,                0.39799,                 1.0087,              0.0070102,              0.0070102,              0.0070102
                    154,                 0.5517,                0.40837,                0.92519,                0.90357,                0.94699,                0.95586,                0.80706,                0.70408,                0.37749,                  1.016,              0.0069904,              0.0069904,              0.0069904
                    155,                0.56801,                0.42958,                0.94455,                0.91594,                 0.9424,                0.94502,                0.80843,                0.70568,                0.36653,                 1.0209,              0.0069706,              0.0069706,              0.0069706
                    156,                0.55424,                0.40931,                 0.9329,                0.93219,                 0.9375,                0.94572,                 0.8028,                0.70545,                0.38517,                 1.0184,              0.0069508,              0.0069508,              0.0069508
                    157,                0.56818,                0.41823,                0.94515,                0.93237,                0.93651,                0.95478,                0.81229,                0.69015,                0.35139,                0.99975,               0.006931,               0.006931,               0.006931
                    158,                0.55449,                0.41018,                0.93182,                0.94017,                0.94942,                0.95689,                0.81239,                0.69984,                0.34171,                 1.0139,              0.0069112,              0.0069112,              0.0069112
                    159,                 0.5554,                0.40528,                0.93261,                0.92489,                0.95628,                 0.9602,                 0.8097,                0.71939,                0.34793,                 1.0276,              0.0068914,              0.0068914,              0.0068914
                    160,                0.54017,                0.39358,                0.92578,                0.95041,                0.92128,                0.95189,                0.80836,                0.72682,                 0.3687,                 1.0139,              0.0068716,              0.0068716,              0.0068716
                    161,                0.54901,                0.41579,                0.93404,                0.93845,                0.94009,                0.95009,                0.81704,                0.72482,                0.36492,                 1.0224,              0.0068518,              0.0068518,              0.0068518
                    162,                0.55961,                0.41889,                0.93326,                0.94726,                0.94036,                0.96236,                0.82069,                0.69607,                0.36266,                 1.0074,               0.006832,               0.006832,               0.006832
                    163,                0.53171,                0.39272,                0.91839,                0.92615,                 0.9466,                0.95499,                0.81184,                0.70044,                0.39582,                 1.0103,              0.0068122,              0.0068122,              0.0068122
                    164,                0.55482,                0.41161,                0.92909,                0.91492,                0.94927,                0.95934,                0.81647,                0.73941,                0.38359,                  1.036,              0.0067924,              0.0067924,              0.0067924
                    165,                0.54857,                0.40869,                0.93143,                0.90993,                 0.9457,                0.94903,                 0.8119,                0.70919,                0.43833,                 1.0201,              0.0067726,              0.0067726,              0.0067726
                    166,                0.54205,                0.40887,                 0.9298,                0.93823,                0.92586,                0.96275,                0.82033,                0.72006,                 0.3849,                 1.0299,              0.0067528,              0.0067528,              0.0067528
                    167,                0.54562,                0.40406,                0.92479,                0.94444,                0.93717,                0.95714,                 0.8105,                0.72932,                0.37174,                 1.0387,               0.006733,               0.006733,               0.006733
                    168,                0.53977,                0.40234,                0.93229,                0.94894,                0.93432,                0.95377,                0.80821,                0.73395,                0.49867,                 1.0227,              0.0067132,              0.0067132,              0.0067132
                    169,                 0.5295,                0.39908,                0.92031,                0.93108,                0.95754,                0.95978,                0.81352,                0.71007,                0.36221,                 1.0314,              0.0066934,              0.0066934,              0.0066934
                    170,                0.53365,                0.39367,                0.92097,                0.95387,                0.92664,                0.96343,                 0.8134,                0.71332,                 0.3628,                 1.0283,              0.0066736,              0.0066736,              0.0066736
                    171,                0.54179,                0.40302,                0.92879,                0.94953,                0.93015,                0.95931,                0.81382,                0.69103,                0.36736,                 1.0166,              0.0066538,              0.0066538,              0.0066538
                    172,                0.54455,                0.40215,                 0.9252,                 0.9433,                0.94837,                0.95489,                0.81329,                0.73093,                0.35617,                 1.0392,               0.006634,               0.006634,               0.006634
                    173,                  0.548,                0.40068,                0.92999,                0.93955,                0.94857,                0.95969,                0.81789,                0.71697,                0.34227,                 1.0156,              0.0066142,              0.0066142,              0.0066142
                    174,                0.55257,                0.40221,                0.92552,                0.92521,                0.93869,                 0.9574,                0.81123,                0.75689,                0.37231,                 1.0445,              0.0065944,              0.0065944,              0.0065944
                    175,                0.52871,                0.38712,                0.92198,                0.93521,                0.95325,                0.95428,                0.80705,                0.72701,                0.34711,                 1.0387,              0.0065746,              0.0065746,              0.0065746
                    176,                0.53052,                0.39999,                0.92009,                0.94194,                0.92859,                0.95725,                0.80692,                  0.717,                0.37826,                 1.0272,              0.0065548,              0.0065548,              0.0065548
                    177,                0.53668,                0.38504,                 0.9266,                0.93892,                0.93736,                0.95669,                0.81301,                0.69578,                0.38168,                 1.0107,               0.006535,               0.006535,               0.006535
                    178,                0.56579,                0.41527,                 0.9417,                0.92275,                0.94277,                0.95878,                0.81819,                0.70483,                0.36152,                 1.0198,              0.0065152,              0.0065152,              0.0065152
                    179,                0.53115,                0.40713,                0.91677,                0.93637,                0.93371,                0.96146,                0.81871,                0.72761,                0.37838,                 1.0448,              0.0064954,              0.0064954,              0.0064954
                    180,                0.52908,                0.38927,                0.92308,                0.93795,                0.94953,                0.96094,                0.81729,                0.72843,                0.35956,                 1.0395,              0.0064756,              0.0064756,              0.0064756
                    181,                0.52079,                0.37669,                0.92006,                0.93581,                0.94939,                0.95982,                0.81836,                0.72451,                0.35673,                 1.0382,              0.0064558,              0.0064558,              0.0064558
                    182,                0.53255,                0.40288,                0.92612,                0.93647,                0.94754,                0.96204,                0.81695,                0.72639,                0.36054,                 1.0322,               0.006436,               0.006436,               0.006436
                    183,                0.53489,                0.40372,                 0.9268,                0.92219,                0.91914,                0.95024,                0.80302,                0.71565,                0.37647,                 1.0211,              0.0064162,              0.0064162,              0.0064162
                    184,                0.51446,                0.38337,                0.92505,                0.92465,                0.95301,                0.96136,                0.81037,                0.74855,                0.36228,                 1.0484,              0.0063964,              0.0063964,              0.0063964
                    185,                0.53203,                0.38346,                0.92639,                0.93541,                0.95183,                0.95869,                0.81477,                0.73682,                0.36646,                 1.0385,              0.0063766,              0.0063766,              0.0063766
                    186,                0.51778,                0.37925,                0.91799,                0.93885,                0.94133,                0.95265,                0.80599,                0.72586,                0.37198,                 1.0327,              0.0063568,              0.0063568,              0.0063568
                    187,                0.52084,                0.37615,                0.91806,                0.93756,                 0.9532,                0.96054,                0.81704,                0.68718,                0.37101,                 1.0155,               0.006337,               0.006337,               0.006337
                    188,                0.53136,                0.38757,                0.92418,                0.93621,                0.93768,                0.96536,                0.81619,                0.70525,                0.34897,                  1.017,              0.0063172,              0.0063172,              0.0063172
                    189,                0.50864,                0.37085,                0.92093,                0.93884,                0.94138,                0.96324,                0.81226,                0.74195,                0.36194,                 1.0332,              0.0062974,              0.0062974,              0.0062974
                    190,                0.52362,                0.37586,                0.92161,                0.92727,                0.94497,                0.96211,                0.81092,                0.71707,                0.35668,                 1.0252,              0.0062776,              0.0062776,              0.0062776
                    191,                0.51594,                0.37249,                0.91946,                0.93229,                0.95462,                0.95607,                0.80505,                0.71243,                0.35007,                 1.0215,              0.0062578,              0.0062578,              0.0062578
                    192,                0.50836,                0.37762,                0.91752,                0.92509,                0.94032,                0.95964,                0.81191,                0.72497,                0.36319,                 1.0196,               0.006238,               0.006238,               0.006238
                    193,                0.51558,                0.38633,                0.92579,                0.93928,                0.93134,                0.95881,                0.81623,                0.70746,                0.36534,                 1.0165,              0.0062182,              0.0062182,              0.0062182
                    194,                0.52032,                0.37888,                0.92308,                0.93782,                0.92416,                0.95924,                0.81165,                0.70515,                0.38579,                 1.0218,              0.0061984,              0.0061984,              0.0061984
                    195,                0.52215,                0.38648,                0.92519,                0.93843,                0.92224,                0.95565,                  0.819,                0.71048,                0.37143,                 1.0185,              0.0061786,              0.0061786,              0.0061786
                    196,                0.52034,                0.37936,                0.92778,                0.93755,                0.94042,                0.95629,                0.81574,                0.71719,                0.37439,                 1.0227,              0.0061588,              0.0061588,              0.0061588
